暗,12,12,5139,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,暗い,クラ,クラ,1/2,*
案,1345,1345,7916,名詞,一般,*,*,*,*,案,アン,アン,1/2,C3
案,1358,1358,9222,名詞,接尾,一般,*,*,*,案,アン,アン,1/2,C3
闇,1345,1345,5791,名詞,一般,*,*,*,*,闇,ヤミ,ヤミ,2/2,C3
鞍,1345,1345,6420,名詞,一般,*,*,*,*,鞍,クラ,クラ,2/2,C3
杏,1345,1345,5746,名詞,一般,*,*,*,*,杏,アンズ,アンズ,0/3,C2
杏,1351,1351,8304,名詞,固有名詞,人名,名,*,*,杏,アンズ,アンズ,0/3,C2
杏,1351,1351,8752,名詞,固有名詞,人名,名,*,*,杏,アン,アン,0/2,C3
杏,1353,1353,8562,名詞,固有名詞,地域,一般,*,*,杏,カラモモ,カラモモ,0/4,C2
伊,1354,1354,7151,名詞,固有名詞,地域,国,*,*,伊,イ,イ,1/1,C3
伊,1354,1354,9693,名詞,固有名詞,地域,国,*,*,伊,イタリア,イタリア,0/4,C1
位,1345,1345,6761,名詞,一般,*,*,*,*,位,イ,イ,0/1,C2
位,1358,1358,8331,名詞,接尾,一般,*,*,*,位,イ,イ,0/1,C3
位,1360,1360,8614,名詞,接尾,助数詞,*,*,*,位,イ,イ,0/1,C3
位,1375,1375,5566,名詞,副詞可能,*,*,*,*,位,クライ,クライ,0/3,C2
依,811,811,7770,動詞,自立,*,*,五段・ラ行,体言接続特殊２,依る,ヨ,ヨ,0/1,*
偉,12,12,4674,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,偉い,エラ,エラ,2/2,*
囲,649,649,7016,動詞,自立,*,*,一段,未然形,囲る,カコエ,カコエ,0/3,*
囲,652,652,7016,動詞,自立,*,*,一段,連用形,囲る,カコエ,カコエ,0/3,*
夷,1345,1345,5747,名詞,一般,*,*,*,*,夷,エビス,エビス,1/3,C1
夷,1353,1353,8563,名詞,固有名詞,地域,一般,*,*,夷,エビス,エビス,1/3,C1
委,1358,1358,9331,名詞,接尾,一般,*,*,*,委,イ,イ,0/1,C3
委,649,649,8821,動詞,自立,*,*,一段,未然形,委る,ユダネ,ユダネ,3/3,*
委,652,652,8821,動詞,自立,*,*,一段,連用形,委る,ユダネ,ユダネ,3/3,*
威,1345,1345,6482,名詞,一般,*,*,*,*,威,イ,イ,1/1,C3
威,1351,1351,7466,名詞,固有名詞,人名,名,*,*,威,タケシ,タケシ,1/3,C2
威,1351,1351,9590,名詞,固有名詞,人名,名,*,*,威,タケル,タケル,1/3,C1
尉,1345,1345,6334,名詞,一般,*,*,*,*,尉,ジョウ,ジョー,1/2,C3
惟,649,649,6962,動詞,自立,*,*,一段,未然形,惟る,オモンミ,オモンミ,4/4,*
惟,652,652,6962,動詞,自立,*,*,一段,連用形,惟る,オモンミ,オモンミ,4/4,*
意,1345,1345,7207,名詞,一般,*,*,*,*,意,イ,イ,1/1,C3
易,12,12,4583,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,易い,ヤス,ヤス,1/2,*
易,1345,1345,6052,名詞,一般,*,*,*,*,易,エキ,エキ,0/2,C3
為,1345,1345,5871,名詞,一般,*,*,*,*,為,タメ,タメ,2/2,C3
為,1374,1374,6062,名詞,非自立,副詞可能,*,*,*,為,タメ,タメ,2/2,F2@2
為,811,811,7857,動詞,自立,*,*,五段・ラ行,体言接続特殊２,為る,ナ,ナ,1/1,*
畏,12,12,4457,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,畏い,カシコ,カシコ,3/3,*
異,12,12,4889,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,異い,アヤ,アヤ,1/2,*
異,1345,1345,7427,名詞,一般,*,*,*,*,異,コト,コト,2/2,C3
異,1345,1345,7925,名詞,一般,*,*,*,*,異,イ,イ,1/1,C3
異,585,585,6659,接頭詞,名詞接続,*,*,*,*,異,イ,イ,1/1,P2
異,811,811,6974,動詞,自立,*,*,五段・ラ行,体言接続特殊２,異る,コトナ,コトナ,1/3,*
