江淵,1350,1350,9000,名詞,固有名詞,人名,姓,*,*,江淵,エブチ,エブチ,1/3,*,え]ぶち
絵幕,1345,1345,9000,名詞,一般,*,*,*,*,絵幕,エマク,エマク,0/3,*,え[まく
江俣,1353,1353,9000,名詞,固有名詞,地域,一般,*,*,江俣,エマタ,エマタ,1/3,*,え]また
笑眉,1345,1345,9000,名詞,一般,*,*,*,*,笑眉,エマユ,エマユ,1/3,*,え]まゆ
江実,1350,1350,9000,名詞,固有名詞,人名,姓,*,*,江実,エミ,エミ,1/2,*,え]み
慧明,1349,1349,9000,名詞,固有名詞,人名,一般,*,*,慧明,エミョウ,エミョウ,1/3,*,え[み]ヨう
柄本,1350,1350,9000,名詞,固有名詞,人名,姓,*,*,柄本,エモト,エモト,1/3,*,え]もと
絵舫,1345,1345,9000,名詞,一般,*,*,*,*,絵舫,エモヤイ,エモヤイ,2/4,*,え[も]やい
惠谷,1350,1350,9000,名詞,固有名詞,人名,姓,*,*,惠谷,エヤ,エヤ,1/2,*,え]や
絵油,1345,1345,9000,名詞,一般,*,*,*,*,絵油,エユ,エユ,1/2,*,え]ゆ
鰓孔,1345,1345,9000,名詞,一般,*,*,*,*,鰓孔,エラアナ,エラアナ,0/4,*,え[らあな
鰓穴,1345,1345,9000,名詞,一般,*,*,*,*,鰓穴,エラアナ,エラアナ,0/4,*,え[らあな
鰓気,1345,1345,9000,名詞,一般,*,*,*,*,鰓気,エラギ,エラギ,0/3,*,え[らぎ
鰓筋,1345,1345,9000,名詞,一般,*,*,*,*,鰓筋,エラスジ,エラスジ,2/4,*,え[ら]すじ
偉殿,1345,1345,9000,名詞,一般,*,*,*,*,偉殿,エラドノ,エラドノ,0/4,*,え[らどの
偉等,1345,1345,9000,名詞,一般,*,*,*,*,偉等,エララ,エララ,1/3,*,え]らら
恵利,1351,1351,9000,名詞,固有名詞,人名,名,*,*,恵利,エリ,エリ,1/2,*,え]り
江里,1351,1351,9000,名詞,固有名詞,人名,名,*,*,江里,エリ,エリ,1/2,*,え]り
絵利,1351,1351,9000,名詞,固有名詞,人名,名,*,*,絵利,エリ,エリ,1/2,*,え]り
襟襟,1345,1345,9000,名詞,一般,*,*,*,*,襟襟,エリエリ,エリエリ,2/4,*,え[り]えり
襟女,1345,1345,9000,名詞,一般,*,*,*,*,襟女,エリオンナ,エリオンナ,3/5,*,え[りお]んな
襟型,1345,1345,9000,名詞,一般,*,*,*,*,襟型,エリガタ,エリガタ,2/4,*,え[り]がた
襟側,1345,1345,9000,名詞,一般,*,*,*,*,襟側,エリガワ,エリガワ,0/4,*,え[りがわ
慧力,1345,1345,9000,名詞,一般,*,*,*,*,慧力,エリキ,エリキ,1/3,*,え]りき
江陸,1351,1351,9000,名詞,固有名詞,人名,名,*,*,江陸,エリク,エリク,0/3,*,え[りく
襟草,1345,1345,9000,名詞,一般,*,*,*,*,襟草,エリクサ,エリクサ,2/4,*,え[り]くさ
襟黒,1345,1345,9000,名詞,一般,*,*,*,*,襟黒,エリクロ,エリクロ,2/4,*,え[り]くろ
襟印,1345,1345,9000,名詞,一般,*,*,*,*,襟印,エリシルシ,エリシルシ,3/5,*,え[りし]るし
襟袖,1345,1345,9000,名詞,一般,*,*,*,*,襟袖,エリソデ,エリソデ,2/4,*,え[り]そで
襟翼,1345,1345,9000,名詞,一般,*,*,*,*,襟翼,エリツバサ,エリツバサ,3/5,*,え[りつ]ばさ
襟等,1345,1345,9000,名詞,一般,*,*,*,*,襟等,エリトウ,エリトウ,2/4,*,え[り]とう
襟歯,1345,1345,9000,名詞,一般,*,*,*,*,襟歯,エリバ,エリバ,0/3,*,え[りば
慧亮,1349,1349,9000,名詞,固有名詞,人名,一般,*,*,慧亮,エリョウ,エリョウ,1/3,*,え[り]ヨう
襟立,1345,1345,9000,名詞,一般,*,*,*,*,襟立,エリリツ,エリリツ,2/4,*,え[り]りつ
燕庵,1345,1345,9000,名詞,一般,*,*,*,*,燕庵,エンアン,エンアン,2/4,*,え[ん]あん
円位,1345,1345,9000,名詞,一般,*,*,*,*,円位,エンイ,エンイ,0/3,*,え[んい
縁板,1345,1345,9000,名詞,一般,*,*,*,*,縁板,エンイタ,エンイタ,3/4,*,え[んい]た
縁色,1345,1345,9000,名詞,一般,*,*,*,*,縁色,エンイロ,エンイロ,2/4,*,え[ん]いろ
遠岩,1345,1345,9000,名詞,一般,*,*,*,*,遠岩,エンイワ,エンイワ,2/4,*,え[ん]いわ
縁因,1345,1345,9000,名詞,一般,*,*,*,*,縁因,エンイン,エンイン,0/4,*,え[んいん
袁院,1350,1350,9000,名詞,固有名詞,人名,姓,*,*,袁院,エンイン,エンイン,2/4,*,え[ん]いん
鉛印,1345,1345,9000,名詞,一般,*,*,*,*,鉛印,エンイン,エンイン,0/4,*,え[んいん
煙雨,1345,1345,9000,名詞,一般,*,*,*,*,煙雨,エンウ,エンウ,1/3,*,え]んう
縁臼,1345,1345,9000,名詞,一般,*,*,*,*,縁臼,エンウス,エンウス,2/4,*,え[ん]うす
援英,1345,1345,9000,名詞,一般,*,*,*,*,援英,エンエイ,エンエイ,0/4,*,え[んえい
遠影,1345,1345,9000,名詞,一般,*,*,*,*,遠影,エンエイ,エンエイ,0/4,*,え[んえい
延悦,1349,1349,9000,名詞,固有名詞,人名,一般,*,*,延悦,エンエツ,エンエツ,2/4,*,え[ん]えつ
煙炎,1345,1345,9000,名詞,一般,*,*,*,*,煙炎,エンエン,エンエン,0/4,*,え[んえん
偃王,1351,1351,9000,名詞,固有名詞,人名,名,*,*,偃王,エンオウ,エンオウ,2/4,*,え[ん]おう
円王,1345,1345,9000,名詞,一般,*,*,*,*,円王,エンオウ,エンオウ,2/4,*,え[ん]おう
淵奥,1345,1345,9000,名詞,一般,*,*,*,*,淵奥,エンオウ,エンオウ,0/4,*,え[んおう
縁折,1345,1345,9000,名詞,一般,*,*,*,*,縁折,エンオリ,エンオリ,2/4,*,え[ん]おり
炎夏,1345,1345,9000,名詞,一般,*,*,*,*,炎夏,エンカ,エンカ,1/3,*,え]んか
炎火,1345,1345,9000,名詞,一般,*,*,*,*,炎火,エンカ,エンカ,1/3,*,え]んか
燕窩,1345,1345,9000,名詞,一般,*,*,*,*,燕窩,エンカ,エンカ,1/3,*,え]んか
縁下,1345,1345,9000,名詞,一般,*,*,*,*,縁下,エンカ,エンカ,0/3,*,え[んか
袁家,1345,1345,9000,名詞,一般,*,*,*,*,袁家,エンカ,エンカ,0/3,*,え[んか
塩海,1345,1345,9000,名詞,一般,*,*,*,*,塩海,エンカイ,エンカイ,0/4,*,え[んかい
縁海,1345,1345,9000,名詞,一般,*,*,*,*,縁海,エンカイ,エンカイ,0/4,*,え[んかい
袁隗,1349,1349,9000,名詞,固有名詞,人名,一般,*,*,袁隗,エンカイ,エンカイ,0/4,*,え[んかい
遠海,1345,1345,9000,名詞,一般,*,*,*,*,遠海,エンカイ,エンカイ,0/4,*,え[んかい
縁腕,1345,1345,9000,名詞,一般,*,*,*,*,縁腕,エンカイナ,エンカイナ,3/5,*,え[んか]いな
捐官,1345,1345,9000,名詞,一般,*,*,*,*,捐官,エンカン,エンカン,0/4,*,え[んかん
