衛,2,2,10000,フィラー,*,*,*,*,*,衛,エイ,エイ,1/2,*,え]い,*
易,2,2,10000,フィラー,*,*,*,*,*,易,エキ,エキ,1/2,*,え]き,*
易,2,2,10000,フィラー,*,*,*,*,*,易,イ,イ,0/1,*,い,*
疫,2,2,10000,フィラー,*,*,*,*,*,疫,エキ,エキ,1/2,*,え]き,*
益,2,2,10000,フィラー,*,*,*,*,*,益,エキ,エキ,1/2,*,え]き,*
液,2,2,10000,フィラー,*,*,*,*,*,液,エキ,エキ,1/2,*,え]き,*
駅,2,2,10000,フィラー,*,*,*,*,*,駅,エキ,エキ,1/2,*,え]き,*
悦,2,2,10000,フィラー,*,*,*,*,*,悦,エツ,エツ,1/2,*,え]つ,*
越,2,2,10000,フィラー,*,*,*,*,*,越,エツ,エツ,1/2,*,え]つ,*
謁,2,2,10000,フィラー,*,*,*,*,*,謁,エツ,エツ,1/2,*,え]つ,*
閲,2,2,10000,フィラー,*,*,*,*,*,閲,エツ,エツ,1/2,*,え]つ,*
円,2,2,10000,フィラー,*,*,*,*,*,円,エン,エン,1/2,*,え]ん,*
延,2,2,10000,フィラー,*,*,*,*,*,延,エン,エン,1/2,*,え]ん,*
沿,2,2,10000,フィラー,*,*,*,*,*,沿,エン,エン,1/2,*,え]ん,*
炎,2,2,10000,フィラー,*,*,*,*,*,炎,エン,エン,1/2,*,え]ん,*
宴,2,2,10000,フィラー,*,*,*,*,*,宴,エン,エン,1/2,*,え]ん,*
援,2,2,10000,フィラー,*,*,*,*,*,援,エン,エン,1/2,*,え]ん,*
園,2,2,10000,フィラー,*,*,*,*,*,園,エン,エン,1/2,*,え]ん,*
煙,2,2,10000,フィラー,*,*,*,*,*,煙,エン,エン,1/2,*,え]ん,*
猿,2,2,10000,フィラー,*,*,*,*,*,猿,エン,エン,1/2,*,え]ん,*
遠,2,2,10000,フィラー,*,*,*,*,*,遠,エン,エン,0/2,*,え[ん,*
鉛,2,2,10000,フィラー,*,*,*,*,*,鉛,エン,エン,1/2,*,え]ん,*
塩,2,2,10000,フィラー,*,*,*,*,*,塩,エン,エン,1/2,*,え]ん,*
演,2,2,10000,フィラー,*,*,*,*,*,演,エン,エン,1/2,*,え]ん,*
縁,2,2,10000,フィラー,*,*,*,*,*,縁,エン,エン,1/2,*,え]ん,*
汚,2,2,10000,フィラー,*,*,*,*,*,汚,オ,オ,0/1,*,お,*
王,2,2,10000,フィラー,*,*,*,*,*,王,オウ,オウ,1/2,*,お]う,*
凹,2,2,10000,フィラー,*,*,*,*,*,凹,オウ,オウ,1/2,*,お]う,*
央,2,2,10000,フィラー,*,*,*,*,*,央,オウ,オウ,1/2,*,お]う,*
応,2,2,10000,フィラー,*,*,*,*,*,応,オウ,オウ,1/2,*,お]う,*
往,2,2,10000,フィラー,*,*,*,*,*,往,オウ,オウ,1/2,*,お]う,*
押,2,2,10000,フィラー,*,*,*,*,*,押,オウ,オウ,1/2,*,お]う,*
欧,2,2,10000,フィラー,*,*,*,*,*,欧,オウ,オウ,1/2,*,お]う,*
殴,2,2,10000,フィラー,*,*,*,*,*,殴,オウ,オウ,1/2,*,お]う,*
桜,2,2,10000,フィラー,*,*,*,*,*,桜,オウ,オウ,1/2,*,お]う,*
翁,2,2,10000,フィラー,*,*,*,*,*,翁,オウ,オウ,1/2,*,お]う,*
奥,2,2,10000,フィラー,*,*,*,*,*,奥,オウ,オウ,1/2,*,お]う,*
横,2,2,10000,フィラー,*,*,*,*,*,横,オウ,オウ,1/2,*,お]う,*
屋,2,2,10000,フィラー,*,*,*,*,*,屋,オク,オク,1/2,*,お]く,*
億,2,2,10000,フィラー,*,*,*,*,*,億,オク,オク,1/2,*,お]く,*
憶,2,2,10000,フィラー,*,*,*,*,*,憶,オク,オク,1/2,*,お]く,*
虞,2,2,10000,フィラー,*,*,*,*,*,虞,オソレ,オソレ,0/3,*,お[それ,音読みなし
乙,2,2,10000,フィラー,*,*,*,*,*,乙,オツ,オツ,1/2,*,お]つ,*
卸,2,2,10000,フィラー,*,*,*,*,*,卸,オロス,オロス,0/3,*,お[ろす,音読みなし
卸,2,2,10000,フィラー,*,*,*,*,*,卸,オロシ,オロシ,0/3,*,お[ろし,音読みなし
音,2,2,10000,フィラー,*,*,*,*,*,音,オン,オン,1/2,*,お]ん,*
恩,2,2,10000,フィラー,*,*,*,*,*,恩,オン,オン,1/2,*,お]ん,*
温,2,2,10000,フィラー,*,*,*,*,*,温,オン,オン,1/2,*,お]ん,*
穏,2,2,10000,フィラー,*,*,*,*,*,穏,オン,オン,1/2,*,お]ん,*
下,2,2,10000,フィラー,*,*,*,*,*,下,カ,カ,0/1,*,か,*
下,2,2,10000,フィラー,*,*,*,*,*,下,ゲ,ゲ,0/1,*,げ,*
化,2,2,10000,フィラー,*,*,*,*,*,化,カ,カ,0/1,*,か,*
化,2,2,10000,フィラー,*,*,*,*,*,化,ケ,ケ,0/1,*,け,*
火,2,2,10000,フィラー,*,*,*,*,*,火,カ,カ,1/1,*,か],*
加,2,2,10000,フィラー,*,*,*,*,*,加,カ,カ,0/1,*,か,*
可,2,2,10000,フィラー,*,*,*,*,*,可,カ,カ,0/1,*,か,*
仮,2,2,10000,フィラー,*,*,*,*,*,仮,カ,カ,0/1,*,か,*
何,2,2,10000,フィラー,*,*,*,*,*,何,カ,カ,0/1,*,か,*
花,2,2,10000,フィラー,*,*,*,*,*,花,カ,カ,0/1,*,か,*
佳,2,2,10000,フィラー,*,*,*,*,*,佳,カ,カ,0/1,*,か,*
価,2,2,10000,フィラー,*,*,*,*,*,価,カ,カ,0/1,*,か,*
果,2,2,10000,フィラー,*,*,*,*,*,果,カ,カ,0/1,*,か,*
河,2,2,10000,フィラー,*,*,*,*,*,河,カ,カ,0/1,*,か,*
科,2,2,10000,フィラー,*,*,*,*,*,科,カ,カ,0/1,*,か,*
架,2,2,10000,フィラー,*,*,*,*,*,架,カ,カ,0/1,*,か,*
夏,2,2,10000,フィラー,*,*,*,*,*,夏,カ,カ,0/1,*,か,*
家,2,2,10000,フィラー,*,*,*,*,*,家,カ,カ,0/1,*,か,*
家,2,2,10000,フィラー,*,*,*,*,*,家,ケ,ケ,0/1,*,け,*
荷,2,2,10000,フィラー,*,*,*,*,*,荷,カ,カ,0/1,*,か,*
華,2,2,10000,フィラー,*,*,*,*,*,華,カ,カ,0/1,*,か,*
菓,2,2,10000,フィラー,*,*,*,*,*,菓,カ,カ,0/1,*,か,*
貨,2,2,10000,フィラー,*,*,*,*,*,貨,カ,カ,0/1,*,か,*
渦,2,2,10000,フィラー,*,*,*,*,*,渦,カ,カ,0/1,*,か,*
過,2,2,10000,フィラー,*,*,*,*,*,過,カ,カ,0/1,*,か,*
嫁,2,2,10000,フィラー,*,*,*,*,*,嫁,カ,カ,0/1,*,か,*
暇,2,2,10000,フィラー,*,*,*,*,*,暇,カ,カ,0/1,*,か,*
禍,2,2,10000,フィラー,*,*,*,*,*,禍,カ,カ,0/1,*,か,*
靴,2,2,10000,フィラー,*,*,*,*,*,靴,カ,カ,0/1,*,か,*
寡,2,2,10000,フィラー,*,*,*,*,*,寡,カ,カ,0/1,*,か,*
歌,2,2,10000,フィラー,*,*,*,*,*,歌,カ,カ,0/1,*,か,*
箇,2,2,10000,フィラー,*,*,*,*,*,箇,カ,カ,0/1,*,か,*
稼,2,2,10000,フィラー,*,*,*,*,*,稼,カ,カ,0/1,*,か,*
課,2,2,10000,フィラー,*,*,*,*,*,課,カ,カ,0/1,*,か,*
蚊,2,2,10000,フィラー,*,*,*,*,*,蚊,カ,カ,0/1,*,か,音読みなし
我,2,2,10000,フィラー,*,*,*,*,*,我,ガ,ガ,0/1,*,が,*
画,2,2,10000,フィラー,*,*,*,*,*,画,ガ,ガ,0/1,*,が,*
芽,2,2,10000,フィラー,*,*,*,*,*,芽,ガ,ガ,0/1,*,が,*
賀,2,2,10000,フィラー,*,*,*,*,*,賀,ガ,ガ,0/1,*,が,*
雅,2,2,10000,フィラー,*,*,*,*,*,雅,ガ,ガ,0/1,*,が,*
餓,2,2,10000,フィラー,*,*,*,*,*,餓,ガ,ガ,0/1,*,が,*
介,2,2,10000,フィラー,*,*,*,*,*,介,カイ,カイ,0/2,*,か[い,*
回,2,2,10000,フィラー,*,*,*,*,*,回,カイ,カイ,0/2,*,か[い,*
灰,2,2,10000,フィラー,*,*,*,*,*,灰,カイ,カイ,0/2,*,か[い,*
会,2,2,10000,フィラー,*,*,*,*,*,会,カイ,カイ,0/2,*,か[い,*
快,2,2,10000,フィラー,*,*,*,*,*,快,カイ,カイ,1/2,*,か]い,*
戒,2,2,10000,フィラー,*,*,*,*,*,戒,カイ,カイ,0/2,*,か[い,*
改,2,2,10000,フィラー,*,*,*,*,*,改,カイ,カイ,0/2,*,か[い,*
怪,2,2,10000,フィラー,*,*,*,*,*,怪,カイ,カイ,0/2,*,か[い,*
拐,2,2,10000,フィラー,*,*,*,*,*,拐,カイ,カイ,0/2,*,か[い,*
悔,2,2,10000,フィラー,*,*,*,*,*,悔,カイ,カイ,0/2,*,か[い,*
海,2,2,10000,フィラー,*,*,*,*,*,海,カイ,カイ,1/2,*,か]い,*
界,2,2,10000,フィラー,*,*,*,*,*,界,カイ,カイ,0/2,*,か[い,*
皆,2,2,10000,フィラー,*,*,*,*,*,皆,カイ,カイ,0/2,*,か[い,*
械,2,2,10000,フィラー,*,*,*,*,*,械,カイ,カイ,0/2,*,か[い,*
絵,2,2,10000,フィラー,*,*,*,*,*,絵,カイ,カイ,0/2,*,か[い,*
